"step","_step","_step__MIN","_step__MAX","all_time_value","all_time_value__MIN","all_time_value__MAX"
"89","178","178","178","0.38158977031707764","0.38158977031707764","0.38158977031707764"
"90","180","180","180","0.38371556997299194","0.38371556997299194","0.38371556997299194"
"91","182","182","182","0.4081669747829437","0.4081669747829437","0.4081669747829437"
"92","184","184","184","0.3797902464866638","0.3797902464866638","0.3797902464866638"
"93","186","186","186","0.3798449635505676","0.3798449635505676","0.3798449635505676"
"94","188","188","188","0.4819076359272003","0.4819076359272003","0.4819076359272003"
"95","190","190","190","0.42524585127830505","0.42524585127830505","0.42524585127830505"
"96","192","192","192","0.38242051005363464","0.38242051005363464","0.38242051005363464"
"97","194","194","194","0.3813643753528595","0.3813643753528595","0.3813643753528595"
"98","196","196","196","0.3817569315433502","0.3817569315433502","0.3817569315433502"
"99","198","198","198","0.3825984597206116","0.3825984597206116","0.3825984597206116"
"100","200","200","200","0.559898853302002","0.559898853302002","0.559898853302002"
"101","202","202","202","0.47223517298698425","0.47223517298698425","0.47223517298698425"
"102","204","204","204","0.4349088966846466","0.4349088966846466","0.4349088966846466"
"103","206","206","206","0.4359245002269745","0.4359245002269745","0.4359245002269745"
"104","208","208","208","0.42630890011787415","0.42630890011787415","0.42630890011787415"
"105","210","210","210","0.44827815890312195","0.44827815890312195","0.44827815890312195"
"106","212","212","212","0.42634207010269165","0.42634207010269165","0.42634207010269165"
"107","214","214","214","0.41424089670181274","0.41424089670181274","0.41424089670181274"
"108","216","216","216","0.39262303709983826","0.39262303709983826","0.39262303709983826"
"109","218","218","218","0.42785534262657166","0.42785534262657166","0.42785534262657166"
"110","220","220","220","0.4347683787345886","0.4347683787345886","0.4347683787345886"
"111","222","222","222","0.42376476526260376","0.42376476526260376","0.42376476526260376"
"112","224","224","224","0.4220010042190552","0.4220010042190552","0.4220010042190552"
"113","226","226","226","0.4315672516822815","0.4315672516822815","0.4315672516822815"
"114","228","228","228","0.41227075457572937","0.41227075457572937","0.41227075457572937"
"115","230","230","230","0.4206993579864502","0.4206993579864502","0.4206993579864502"
"116","232","232","232","0.4330632984638214","0.4330632984638214","0.4330632984638214"
"117","234","234","234","0.4312342703342438","0.4312342703342438","0.4312342703342438"
"118","236","236","236","0.4291847348213196","0.4291847348213196","0.4291847348213196"
