"step","_step","_step__MIN","_step__MAX","q_time_value","q_time_value__MIN","q_time_value__MAX"
"290","580","580","580","6.194001197814941","6.194001197814941","6.194001197814941"
"291","582","582","582","6.04642391204834","6.04642391204834","6.04642391204834"
"292","584","584","584","6.092855453491211","6.092855453491211","6.092855453491211"
"293","586","586","586","6.116421222686768","6.116421222686768","6.116421222686768"
"294","588","588","588","6.196905612945557","6.196905612945557","6.196905612945557"
"295","590","590","590","6.021643161773682","6.021643161773682","6.021643161773682"
"296","592","592","592","6.180448055267334","6.180448055267334","6.180448055267334"
"297","594","594","594","6.021477699279785","6.021477699279785","6.021477699279785"
"298","596","596","596","6.072592735290527","6.072592735290527","6.072592735290527"
"299","598","598","598","6.127443313598633","6.127443313598633","6.127443313598633"
"300","600","600","600","5.970173358917236","5.970173358917236","5.970173358917236"
"301","602","602","602","6.176054000854492","6.176054000854492","6.176054000854492"
"302","604","604","604","6.162628173828125","6.162628173828125","6.162628173828125"
"303","606","606","606","6.37324333190918","6.37324333190918","6.37324333190918"
"304","608","608","608","5.957146644592285","5.957146644592285","5.957146644592285"
"305","610","610","610","6.2275238037109375","6.2275238037109375","6.2275238037109375"
"306","612","612","612","6.101118564605713","6.101118564605713","6.101118564605713"
"307","614","614","614","6.101285934448242","6.101285934448242","6.101285934448242"
"308","616","616","616","6.25612211227417","6.25612211227417","6.25612211227417"
"309","618","618","618","6.142875671386719","6.142875671386719","6.142875671386719"
"310","620","620","620","6.116517543792725","6.116517543792725","6.116517543792725"
"311","622","622","622","6.121111869812012","6.121111869812012","6.121111869812012"
"312","624","624","624","6.215488910675049","6.215488910675049","6.215488910675049"
"313","626","626","626","6.14373254776001","6.14373254776001","6.14373254776001"
"314","628","628","628","6.09883975982666","6.09883975982666","6.09883975982666"
"315","630","630","630","6.13631010055542","6.13631010055542","6.13631010055542"
"316","632","632","632","6.183910369873047","6.183910369873047","6.183910369873047"
"317","634","634","634","6.072928428649902","6.072928428649902","6.072928428649902"
"318","636","636","636","6.125090599060059","6.125090599060059","6.125090599060059"
"319","638","638","638","6.243318557739258","6.243318557739258","6.243318557739258"
"320","640","640","640","6.004454612731934","6.004454612731934","6.004454612731934"
"321","642","642","642","6.154633522033691","6.154633522033691","6.154633522033691"
"322","644","644","644","6.156005859375","6.156005859375","6.156005859375"
"323","646","646","646","6.097958087921143","6.097958087921143","6.097958087921143"
"324","648","648","648","6.231754302978516","6.231754302978516","6.231754302978516"
"325","650","650","650","6.131034851074219","6.131034851074219","6.131034851074219"
"326","652","652","652","6.094881057739258","6.094881057739258","6.094881057739258"
"327","654","654","654","6.2602081298828125","6.2602081298828125","6.2602081298828125"
"328","656","656","656","6.215934753417969","6.215934753417969","6.215934753417969"
"329","658","658","658","6.20424747467041","6.20424747467041","6.20424747467041"
"330","660","660","660","6.132637977600098","6.132637977600098","6.132637977600098"
"331","662","662","662","6.169877529144287","6.169877529144287","6.169877529144287"
"332","664","664","664","6.132130146026611","6.132130146026611","6.132130146026611"
"333","666","666","666","6.102593898773193","6.102593898773193","6.102593898773193"
"334","668","668","668","6.234070301055908","6.234070301055908","6.234070301055908"
"335","670","670","670","6.167909622192383","6.167909622192383","6.167909622192383"
"336","672","672","672","6.231771469116211","6.231771469116211","6.231771469116211"
"337","674","674","674","6.288060665130615","6.288060665130615","6.288060665130615"
"338","676","676","676","6.162666320800781","6.162666320800781","6.162666320800781"
"339","678","678","678","6.012214183807373","6.012214183807373","6.012214183807373"
"340","680","680","680","6.041528701782227","6.041528701782227","6.041528701782227"
"341","682","682","682","6.212918281555176","6.212918281555176","6.212918281555176"
"342","684","684","684","6.138673782348633","6.138673782348633","6.138673782348633"
"343","686","686","686","6.1755146980285645","6.1755146980285645","6.1755146980285645"
"344","688","688","688","6.212067604064941","6.212067604064941","6.212067604064941"
"345","690","690","690","6.345839023590088","6.345839023590088","6.345839023590088"
"346","692","692","692","6.165883541107178","6.165883541107178","6.165883541107178"
"347","694","694","694","6.148367404937744","6.148367404937744","6.148367404937744"
"348","696","696","696","6.199563980102539","6.199563980102539","6.199563980102539"
"349","698","698","698","6.246805667877197","6.246805667877197","6.246805667877197"
"350","700","700","700","6.086502552032471","6.086502552032471","6.086502552032471"
"351","702","702","702","6.191396713256836","6.191396713256836","6.191396713256836"
"352","704","704","704","6.0069780349731445","6.0069780349731445","6.0069780349731445"
"353","706","706","706","6.205752372741699","6.205752372741699","6.205752372741699"
"354","708","708","708","6.284167766571045","6.284167766571045","6.284167766571045"
"355","710","710","710","6.116152763366699","6.116152763366699","6.116152763366699"
"356","712","712","712","6.238296985626221","6.238296985626221","6.238296985626221"
"357","714","714","714","6.131687164306641","6.131687164306641","6.131687164306641"
"358","716","716","716","6.00930118560791","6.00930118560791","6.00930118560791"
"359","718","718","718","6.277379989624023","6.277379989624023","6.277379989624023"
"360","720","720","720","6.246817588806152","6.246817588806152","6.246817588806152"
"361","722","722","722","6.1310133934021","6.1310133934021","6.1310133934021"
"362","724","724","724","6.234465599060059","6.234465599060059","6.234465599060059"
"363","726","726","726","6.330578327178955","6.330578327178955","6.330578327178955"
"364","728","728","728","6.1482954025268555","6.1482954025268555","6.1482954025268555"
"365","730","730","730","6.160547256469727","6.160547256469727","6.160547256469727"
"366","732","732","732","6.248178958892822","6.248178958892822","6.248178958892822"
"367","734","734","734","6.007815361022949","6.007815361022949","6.007815361022949"
"368","736","736","736","6.085773468017578","6.085773468017578","6.085773468017578"
"369","738","738","738","6.131312370300293","6.131312370300293","6.131312370300293"
"370","740","740","740","6.148114204406738","6.148114204406738","6.148114204406738"
"371","742","742","742","6.244331359863281","6.244331359863281","6.244331359863281"
"372","744","744","744","6.18659782409668","6.18659782409668","6.18659782409668"
"373","746","746","746","6.071249008178711","6.071249008178711","6.071249008178711"
"374","748","748","748","6.199572563171387","6.199572563171387","6.199572563171387"
"375","750","750","750","6.089714050292969","6.089714050292969","6.089714050292969"
"376","752","752","752","6.1650614738464355","6.1650614738464355","6.1650614738464355"
"377","754","754","754","6.080944061279297","6.080944061279297","6.080944061279297"
"378","756","756","756","6.284313201904297","6.284313201904297","6.284313201904297"
"379","758","758","758","6.1624555587768555","6.1624555587768555","6.1624555587768555"
"380","760","760","760","6.261948585510254","6.261948585510254","6.261948585510254"
"381","762","762","762","6.395401477813721","6.395401477813721","6.395401477813721"
"382","764","764","764","6.194944381713867","6.194944381713867","6.194944381713867"
"383","766","766","766","6.283258438110352","6.283258438110352","6.283258438110352"
"384","768","768","768","6.156631946563721","6.156631946563721","6.156631946563721"
"385","770","770","770","6.106149673461914","6.106149673461914","6.106149673461914"
"386","772","772","772","6.115009307861328","6.115009307861328","6.115009307861328"
"387","774","774","774","6.180874347686768","6.180874347686768","6.180874347686768"
"388","776","776","776","6.172450542449951","6.172450542449951","6.172450542449951"
"389","778","778","778","6.204360008239746","6.204360008239746","6.204360008239746"
"390","780","780","780","6.011271953582764","6.011271953582764","6.011271953582764"
"391","782","782","782","5.992076396942139","5.992076396942139","5.992076396942139"
"392","784","784","784","6.086649417877197","6.086649417877197","6.086649417877197"
"393","786","786","786","6.2810492515563965","6.2810492515563965","6.2810492515563965"
"394","788","788","788","6.143093585968018","6.143093585968018","6.143093585968018"
"395","790","790","790","6.063693046569824","6.063693046569824","6.063693046569824"
"396","792","792","792","6.094613552093506","6.094613552093506","6.094613552093506"
"397","794","794","794","6.251915454864502","6.251915454864502","6.251915454864502"
"398","796","796","796","6.187751293182373","6.187751293182373","6.187751293182373"
"399","798","798","798","6.114063739776611","6.114063739776611","6.114063739776611"
"400","800","800","800","6.11550235748291","6.11550235748291","6.11550235748291"
"401","802","802","802","6.481380462646484","6.481380462646484","6.481380462646484"
"402","804","804","804","6.137093544006348","6.137093544006348","6.137093544006348"
"403","806","806","806","6.257760524749756","6.257760524749756","6.257760524749756"
"404","808","808","808","6.42100715637207","6.42100715637207","6.42100715637207"
